Koordinatat e Kati -2B të projektuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511873.885,4693295.332,0.000,Kati 0,Shtëpi-Ndërtesë,PP
2,7511839.929,4693311.570,0.000,Kati 0,Shtëpi-Ndërtesë,PP
3,7511815.983,4693270.516,0.000,Kati 0,Shtëpi-Ndërtesë,PP
4,7511856.939,4693245.655,0.000,Kati 0,Shtëpi-Ndërtesë,PP
5,7511868.679,4693269.777,0.000,Kati 0,Shtëpi-Ndërtesë,PP
6,7511827.138,4693289.641,0.000,Kati 0,Shtëpi-Ndërtesë,PP
7,7511867.044,4693281.026,0.000,Kati 0,Shtëpi-Ndërtesë,PP
8,7511872.808,4693278.262,0.000,Kati 0,Shtëpi-Ndërtesë,PP
